only	కేవలం సార్లు మాత్రమే
pm	రాత్రి గంటలు
record	రికార్డు
crore	కోట్ల నిధి
crores	కోట్లకు చేరింది
suggestion	ప్రతిపాదన
crore	కోట్లను రూ
respectively	లకు లభించనున్నది
crores	కోట్లు అందుకున్నాడు
crore	కోట్లు
crore	కోట్లు మూడో రోజు రూ
crores	కోట్ల
crore	కోట్లు ప్రాజెక్టుకు రూ
thousand	వేల
crores	కోట్లకు
crore	కోట్ల ఆదాయం వచ్చింది
crores	కోట్లు వెచ్చించింది
crore	కోట్లు
crore	కోట్లుగా నమోదు చేసింది
crores	కోట్లను స్వాధీనం చేసుకున్నారు
thousand	వేలు కదూ
million	లక్షలు వసూలు చేసింది
crores	కోట్లు సేకరించింది
crore	కోట్ల నికర లాభాన్ని నమోదు చేసింది
crores	కోట్లు
crores	కోట్లకు పైగా వసూళ్లు సాధించింది
lakh	కోట్లు
crores	కోట్లకు ప్రశంసించారు
crore	కోట్లు
crore	కోట్ల టర్నోవర్ నమోదు చేసింది
crores	కోట్ల ఆదాయం వస్తుంది
crore	కోట్లకు చేరాయి
crores	కోట్లు
crores	కోట్ల
crore	కోట్లు
crores	కోట్లను తాకింది
respectively	ఉన్నాయి
crores	కోట్ల
lakh	లక్షలకు పెరుగుతుంది
million	లక్షలు
school calendar	స్కూల్
others differ	దో తేడాగా ఉందని
facts	గుండెలు నిజాలు
new heights	న్యూ
crunch game	క్రాక్ గేమ్
hes both	ఆయన ఆ రెండూ
double century	డబుల్ సెంచరీ
online education	సమాజంలో ఆన్లైన్ విద్య
catch	పొందండి చిత్రాలు
and above	ఉంటుంది
camera	ఉత్తమ కెమెరా
yet again	మరోమారు
t return	తిరిగి
why so	అలా ఎందుకు అంటే
favourite movie	నాకు నచ్చిన సినిమా
dont	వద్దు
lake	చెరువు
onions chopped	ఉల్లిపాయలు చిన్న ముక్కలుగా
everyones problem	అందరి సమస్య
ambani house	ఇల్లు
in hyderabad	లోనే
common injuries	సాధారణ గాయాలు
recently rs	ఇటీవల తన అకౌంట్ నుంచి రూ
f rs	లైసెన్స్ లేకుండా డ్రైవింగ్ చేస్తే రూ
celebrity concern	సినీ ప్రముఖులు ఆందోళన
environmental disaster	పర్యావరణ సంక్షోభం
international	ఇంటర్నేషనల్
no disappointment	నిరాశ
or not	లేదా లేదు
crores respectively	కోట్లు
dont	మరీ వేడి చేయకండి
new	కొత్త
rs	జరిమానా వసూలు చేస్తారు
at rs	మరియు రూ
official statement	అధికారిక ప్రకటన
general	జనరల్
water	కొవ్వు
financially sound	ఆర్థిక పరంగా ఉంటుంది
language s	భాష
up	ఠక్కున
very good	బహు బాగుంది
exercise correctly	సరిగ్గా వ్యాయామం చేయటం
similarly rs	అదేవిధంగా రూ
s	ఎస్
rs lakh	లక్షల నగదు తీసుకుని వచ్చాడు
food	ఆహార
chaotic traffic	దూకుడు ట్రాఫిక్
is congress	కాంగ్రెస్
why cheat	ఎందుకు
budget allocations	బడ్జెట్ కేటాయింపు వివరాలు
i thought	మనసులో
big profits	భారీగా లాభం
traders comments	అభిప్రాయాలు
monthly fee	నెలవారీ బిల్లు
lakh crores	లక్షలు ఖర్చు చేశారు
your blood	మీ రక్తం
apple	ఆపిల్
ghee teaspoon	చెంచా
dont compete	పోటీ పడి
salary rs	వేతనం మొదటి ఏడాది శిక్షణ సమయంలో నెలకు రూ
children too	అలాగే సంతానం కూడా
people c	జనం
theyre growing	వాళ్లు
came along	తో వచ్చింది
alternative	ప్రత్యామ్నాయ వసతి
the bjp	బీజేపీ టీడీపీ
the marriage	పెళ్లికి వచ్చే
onions chopped	కొత్తిమీర సన్నగా తరిగి పెట్టుకోవాలి
rs crore	కోట్ల
women	మహిళలు
love signs	ప్రేమకు
everybody knows	అందరికీ సుపరిచితమే
holy picture	పవిత్ర చిత్రం
white bread	తెల్ల
youtube go	యూట్యూబ్ గో
looks scary	భయంకరంగా కనిపిస్తోంది
take	బ్యాక్ అప్ పొందండి
lakh crore	లక్షల కోట్లు
first ball	వికెట్
per bottle	ప్రతి లో
their names	వారి పేరు
crore more	కోట్ల కంటే ఎక్కువ లేదు
residential areas	నివాస ప్రాంతాల ప్రాంతం
again	మళ్లీ పెట్రో మోత
rs then	అప్పుడు నెలకు రూ
nothing wrong	ఏం
yes sir	సార్ సార్
basic recommended	ప్రాథమిక సిఫార్సు చేయబడింది
it tweeted	అంటూ ట్వీట్ చేశారు
why removed	ఎందుకు
chemical sciences	కెమికల్
god asked	అని
history repeats	రిపీట్
sweeping allegations	ఆరోపణలు
you promise	మీరు వాగ్దానం
other	మరికొన్ని ఆవిష్కరణలు
hair colour	జుట్టు రంగు
method	కుదింపు పద్ధతి
rs crore	కోట్లు తేలింది
increasing cases	కేసులు పెరగడానికి
even rs	రూ
per cent	శాతం
it	దాని ఆధారంగా
modi along	దీదీ
iphone c	ఐఫోన్ కెమెరాలు
numbers	సెల్ ఫోన్ నంబర్లు
car reviews	వాహనం యొక్క సమీక్షలు
special night	ప్రత్యేకమైన రాత్రి
loan recovery	రుణ పునర్నిర్మాణం
hollywood	హాలీవుడ్ లీక్
lakh crores	లక్షల కోట్లకు చేరింది
pacific ocean	పసిఫిక్
disease	వ్యాధి భారం
each district	్రతి జిల్లాలో
regular	రెగ్యులర్
moreover rs	అంతేకాదు కోసం పథకం ద్వారా నెలకు రూ
good actress	మంచి నటుడు
hes	అతను ఉంది
us travel	అమెరికాలో
command positions	స్థానం ఆదేశాలు
ask me	కూడాను
womens rights	ది ఆఫ్ రైట్స్
onion g	గ్రాముల
controversial church	ఘర్షణ చర్చి
world	బ్రిటన్ నుంచి ప్రపంచానికి
