its	అది ప్లస్ వన్ చదువుతున్నా
midtown manhattan	మిడ్ టౌన్ మన్హట్టన్ న్యూయార్క్
heavy rainfall	ఏకధాటిగా కురుస్తున్న భారీ వర్షాలకు
prevent cancer	క్యాన్సర్ నుంచి రక్షణ కల్పించేందుకు
financial issues	ఆర్థిక ఇబ్బందులు దూరప్రయాణాలు బంధుగణంతో తగాదాలు
read faster	మరెందుకు ఆలస్యం త్వరగా చదివేయండి
hair colouring	జుట్టు రంగు సెట్ చేయండి
economic crisis	తీవ్ర సంక్షోభంలో ఆర్ధిక వ్యవస్థ
pakistan win	టాస్ గెలిచిన పాకిస్తాన్ బ్యాటింగ్
everyones happy	అందరికి సంతోషం కలిగింది అని అన్నారు
many families	ఎన్నో కుటుంబాలను దిక్కులేని వారిని
selection walkininterview	ఎంపిక వాక్ ఇన్ ఇంటర్వ్యూ ద్వారా
but foreign	అయితే విదేశాలకు వెళ్లి వచ్చిన
other symptoms	లక్షణాలు ఉన్న ఇతర వ్యాధులు
oil gas	చమురు మరియు గ్యాస్ పరికరాలు
trouble breathing	శ్వాస ఆడక ఇబ్బందులు పడ్డాం
approximately rs	మూటలు కట్టిన సంచుల్లో దాదాపు రూ
iit madras	ఐఐటీ మద్రాస్ లో ఎం
examples are	ఉదాహరణలు క్రింది విధంగా ఉన్నాయి
be together	అన్నదమ్ముల కలిసి మెలసి ఉండండి
multidevice compatibility	బహుళ పరికరాలు అంతటా అనుకూలత ఏర్పాటు
ipl auction	జోరుగా సాగుతున్న ఐపీఎల్ వేలం
she tweeted	అంటూ ఆమె ట్వీట్ చేశారు
top songs	టాప్ బెస్ట్ వింతల్ సాంగ్స్
further rs	ఆ తరువాత చేసుకునే రీచార్జిలపై కూడా రూ
revanth reddy	మోత్కుపల్లికి షాకిచ్చిన రేవంత్ రెడ్డి
twomonth wait	రెండు నెలలు అయ్యప్ప దర్శనం
he tweeted	ధాస్తు అంటూ ట్వీట్ చేశారు
kejriwal quits	కేజ్రీవాల్ రాజీనామాకు దీక్ష చేస్తా
he tweeted	అని ఆయన ట్వీట్ చేశారు
im happy	సంతోషంగా ఉంది అని రాసిందామె
which medicine	ఏయే రూపం ఔషధాన్ని తీసుకోవడం
ustaliban negotiation	తాలిబన్లు అమెరికా బలగాల మధ్య జరిగిన చర్చలు
abrogating article	ఆర్టికల్ ను రద్దు చేయడాన్ని వ్యతిరేకి
thousand each	వేలు చొప్పున అందించ తలపెట్టింది
for breakfast	రాత్రి భోజనం కోసం బ్రేక్ఫాస్ట్
kumaraswamy is	కుమారస్వామి స్వామి అను నేను
decorative flowers	అలంకరణకు వాడవలసిన పూలు పోగడ పువ్వులు
amala paul	అమలా పాల్ ఆదై సినిమా
similarly rs	అదేవిధంగా పారిశుద్ధ్యం కోసం రూ
having family	అక్కడ ఒక కుటుంబం అని
trump acquitted	అభిశంసన నుంచి ట్రంప్కు విముక్తి
not dhoni	ధోనీ కాదు గంగూలీ కూడా కాదు
besides rs	అంతేకదు అదనంగా మరో రూ
however rs	అయితే ఇకపై మనదేశంలో రూ
lifes beautiful	లైఫ్ చాలా అందంగా ఉంది
nearly rs	ప్రాజెక్టు నిర్మాణానికి దాదాపు రూ
trump tweeted	మర్యాదగానే మాట్లాడానని ట్వీట్ చేసిన ట్రంప్
only crores	కోట్లు మాత్రమే బడ్జెట్లో ప్రతిపాదించింది
thousand rs	వేలు పెద్ద రైతులకు రూ
lakhs respectively	లక్షల చొప్పున ఆదాయం సమకూరింది
crore rs	లక్షలు తెలంగాణ ముఖ్యమంత్రి సహాయనిధికి రూ
sridevi daughter	కన్నీటిపర్యంతమైన శ్రీదేవి చిన్న కూతురు
mother says	ఇక్కడ తల్లి ఇలా చెప్పింది
genre comedysatireromance	కళ కామెడీ రొమాన్స్ డ్రామా
bollywood actress	భాజపాలో చేరిన బాలీవుడ్ నటి
trump surprise	ట్రంప్ కు ఊహించని షాక్
muslims fled	ముస్లింలను మాత్రం దూరం పెట్టారు
already rs	ఇప్పటికే ప్రజా పంపిణీ వ్యవస్థను విస్తృత పరిచేందుకు రూ
something worked	ఏదో ఒకపని చేస్తూనే వుండేది
slow claps	్ఛళ్ళుమని లెంపకాయ కొట్టిన చప్పుడు
lakh approx	లక్షల కోట్లుకు పైగా ఉండనున్నది
chandrababu asked	అని చంద్రబాబు అని ప్రశ్నించారు
nothing sticks	బాపు బేలగా ఏమీ వుండరు
junior ntr	ఎవరికీ దక్కదన్న జూనియర్ ఎన్టీఆర్
whos interested	ఎవరి ఇంట్రెస్ట్ వారికి ఉంటుంది
replied it	ంటూ ఘాటు సమాధానం ఇచ్చారు
morgan freeman	మోర్గాన్ ఫ్రీమాన్ యొక్క జీవితచరిత్ర
first show	ప్రేక్షకులను మెప్పించే ఫస్ట్ షో
problem solution	లలో పరిష్కారం అయ్యే సమస్య
minimum rs	ఈనెల నుంచి కనీసంగా రూ
no losses	నష్టాల నుంచి తేరుకోవడం లేదు
in korean	జిల్లా పరిషత్ ఉన్నత పాఠశాల పోరంకి గ్రామము పోస్ట్
but its human	అయితే ఆ వ్యక్తీ మానవుడే
its called illeism	ఇది దిగజారుడుతనానికి గా పిలవబడింది
choose a place	నాటడానికి ఒక స్థలాన్ని ఎంచుకోండి
hows the food	అక్కడి ఆహారం ఎలా ఉంటుందో
gold prices soar	భారీగా పెరిగిన బంగారం ధరలు
otherwise nothing much	లేదంటే ఏమీ లేదన్నట్లే లెక్క
theyre more popular	వారు మరింత ప్రజాదరణ పొందారు
but thats normal	ాని అక్కడ అది ఆచారం
civil suit noa	సివిల్ సూట్ నెం ఎ
further another rs	ఇందులో అదనంగా మరో రూ
under the rs	పంప ప్రశస్తి కింద రూ
melbourne world no	మెల్బోర్న్ ఆస్ట్రేలియా వరల్డ్ నం
hence nobody cares	అందుకే ఎవరికీ నచ్చక ఢాం అంది
a new dawn	మళ్లీ ఎప్పుడో కొత్త ముహూర్తం
it is negative	ందులో నెగటివ్ అని తేలిందన్నారు
yes i smoke	అవును నేను డ్రింక్ చేస్తాను
company was rs	కాగా గతవారంలో కంపెనీ రూ
mp selfie camera	మెగాపిక్సెల్ ఫ్లాష్ సెల్ఫీ కెమెరా
centre gives rs	కేంద్రం ఈ మద్య రూ
it costs rs	ఇక దీని ఖరీదు విషయానికి వస్తే రూ
allu arjun snapped	అల్లు అర్జున్ మాట తప్పాడు
sachin tendulkar reacted	దానిపై సచిన్ టెండూల్కర్ స్పందించాడు
still i dared	అయినా కూడా ధైర్యంగా నిలదొక్కుకున్నాను
about the hotel	హోటల్ ఉన్న ప్రాంతం గురించి
or wait on	లేదా అన్నది వేచి చూడాల్సిందే
its so delicious	ఇది చాలా టేస్టీగా ఉంటుంది
its price rs	దీని ధర అధికారికంగా రూ
dont skip breakfast	ఉదయం తీసుకునే అల్పాహారం మానకూడదు
banking and finance	బ్యాంకింగ్ మరియు ఆర్ధిక విషయాల ఏర్పాటు
gope means yadavs	గోపులు అంటే యాదవులు అని అర్థం
thats just me	ఇలా నాకు మాత్రమే ఉంది
and in russia	మరి ఆమె రష్యా ఏజెంటా
home state rs	రాష్ట్ర హోం శాఖకు రూ
lakshmi narayana questioned	అని లక్ష్మీనారాయణను అంబికా కృష్ణ ప్రశ్నించారు
but always rushed	కానీ ఎల్లప్పుడూ చాలా వేగంగా
golden chance missed	గోల్డెన్ ఛాన్స్ మిస్ చేసుకున్న అల్లు
nobody remembers it	అతన్ని ఎవరూ గుర్తు పట్టరు
its worth billion	దీని విలువ మిలియన్ల అమెరికా డాలర్లు ఉంటుంది
it cost r	వారు రూబిళ్లు నుండి ఖర్చు
japan was popular	జపాన్లో ఎంతో ప్రాచుర్యం పొందింది
lakh was released	లక్షల చొప్పున పరిహారం ప్రకటించారు
it worked successfully	అక్కడ ఇది విజయవంతంగా పనిచేసింది
age to above	పెద్దలు సంవత్సరాల వరకు జీవించి
bjp working president	వస్తామన్న బీజేపీ వర్కింగ్ ప్రెసిడెంట్
exam file image	టెస్ట్ మ్యాచ్ ఫైల్ ఫొటో
additionally the rs	అంతేకాకుండా క్రీడా శాఖ ప్రకటించిన రూ
love builds up	మాస్వింగో ప్రాంతంలో పనిచేస్తున్న ఒక ప్రయాణ పైవిచారణకర్త కొంతమంది స్థానిక సాక్షులతో కలిసి సువార్త పనిలో పాల్గొన్నాడు
lakh is estimated	లక్ష కోట్ల మార్క్ను తాకుతుందని అంచనా
and thats dangerous	మరియు అది కలిగి ప్రమాదకరమైన విషయం
husband stabs wife	చేతకాక భర్తలు భార్యను వేధిస్తారు
people want change	అక్కడి ప్రజలు మార్పు కోరుకుంటున్నారు
last full charge	పూర్వము పూర్తిగా చార్జ్ అయినప్పుడు
drink enough water	తగినంత నీరు తాగుతూ ఉండాలి
rbi mpc meet	ప్రారంభమైన ఆర్బిఐ ఎంపిసి భేటీ
sir donald bradman	సర్ డొనాల్డ్ బ్రాడ్మన్ రికార్డు బద్దలు
coming to movies	వచ్చిన సినిమాలు చేసుకుంటూ వెళ్లడమే
thousand as compensation	వేల చొప్పున నష్టపరిహారం అందించామన్నారు
salary upto thousand	వేల వరకు వేతనాలు పొందుతున్నారు
the car halted	బండి ఆగిపోయే పరిస్థితి తలెత్తింది
tsp sugar optional	చక్కెర ప్రత్యామ్నాయం కప్పు చక్కెర స్టెవియా వంటివి
all three slogged	ముగ్గురూ కలసి మస్తుగా ఎగిరారు
for farmers rs	రైతులు కౌలుకు చేసే వ్యవసాయంతో సంబంధం లేకుండా రూ
cbi probe begins	సీబీఐ ఎంక్వయిరీలు ప్రారంభం అవుతాయి
just an example	కేవలం ఉదాహరణగా మాత్రమే తీసుకొన్నాను
congress wins seats	కాంగ్రెస్ పార్టీ స్థానాల్లో ఆధిక్యంలో ఉంది
yes he replied	అని అందుకు సదరు వ్యక్తి అవునని సమాధానం ఇచ్చాడు
laughs not yet	స నవ్వుతూ ఇప్పటికైతే దక్కలేదు
fuel prices dip	మళ్లీ భగ్గుమంటున్న ఇంధన ధరలు
i rediscovered faith	మళ్లీ నాకు నమ్మకం ఏర్పడింది
thats very refreshing	ఇది చాలా రిఫ్రెష్ శ్వాస ఉంది
our troops retaliated	మన సైన్యం హాహాకారాలు చేసింది
indiachina relationship growing	భారత్ చైనా బంధం మరింత పటిష్టం జిన్పింగ్
everything is open	ంతా ఓపెన్ గానే మాట్లాడేసుకుంటుంటారు
enjoyed every moment	ఎవ్రీ సెకన్ ఎంజాయ్ చేశారు
director sankalp reddy	గుర్తింపు కోసం పాకులాడను దర్శకుడు సంకల్ప్ రెడ్డి
deepika padukone interrogated	విచారణకు హాజరైన దీపికా పదుకొనే
bjp lawmakers grouse	బల్లలు చరిచిన బీజేపీ ఎంపీలు
however circumstances changed	అయితే పరిస్థితులు మాత్రం భిన్నంగా మారాయి
leave nothing out	ేన్నీ వదలి పెట్టడం లేదు
atal pension yojana	అటల్ పెన్షన్ యోజన పథకం
more details soon	పూర్తి వివరాలు త్వరలో అని పేర్కొన్నారు
display and features	ప్రదర్శన మరియు డిజైన్ లక్షణాలను
cup chopped onion	టేబుల్ స్పూన్ తురిమిన దోసకాయ
dmk is rumbling	డిఎంకె మాత్రం ఆచితూచి మాట్లాడుతోంది
coconut oil tablespoons	ఆలివ్ నూనె టేబుల్ స్పూన్లు
court tosses prop	వీటిని దగ్గరగా చుట్టి నిల్వ చేస్తారు
the other three	మరో ఇద్దరు ముగ్గురు ఔట్
theres no paperwork	దీనికి ఎలాంటి కాగితాలతో పని లేదు
open oneclick search	ఒక క్లిక్ శోధన తెరువు
nitish congratulates modi	నితీశ్ పాలనపై మోదీ ప్రశంసల వర్షం
very good job	చాలా ఇష్టంగా చేస్తారీ పని
nothing as such	లాంటిదేమీ లేదని కొట్టి పారేస్తుంటారు
sports and fitness	క్రీడలు మరియు ఫిట్నెస్ విలువిద్య
international and national	తద్వారా జాతీయం అంతర్జాతీయం అయినవి
asked the inspector	భయంగా అడిగాడు ఇన్స్ పెక్టర్
to ensure peace	శాంతి కచ్చేరి చేయమంది భద్రతకై
it is emotional	అంటూ ఎమోషనల్ గా చెప్పుకొచ్చింది
who can apply	వ్యక్తులు కోసం దరఖాస్తు చేసుకోవచ్చు
yes it is	అవును మర్చేపోయాను అంది నాలిక్కర్చుకుని విరజ
director ramgopal varma	కథ మాటలు దర్శకత్వం రామ్గోపాల్ వర్మ
answer their questions	వారి ప్రశ్నలకు జవాబు ఇవ్వాలి
kaziranga national park	నీట మునిగిన కజిరంగా నేషనల్ పార్క్
rbi rate hike	ఆర్బిఐ వడ్డీ రేట్ల పెంపు
rtc buses collide	ఆటోను ఢీకొన్న ఆర్టీసీ బస్సు
pension of rs	వెయ్యి ఇస్తున్న ఆసరా పెన్షన్లను రూ
children never are	ఎప్పటికీ పిల్లలు వద్దని అంటున్నాడు
finally it came	చివరకు మాత్రం దానిని చేర్చారు
people love value	ప్రేమ విలువ తెలిసిన వ్యక్తులు
bjp leaders like	బీజేపీ నేతలు ఇష్టం వచ్చినట్లు మాట్లాడుతున్నారు
no political insights	రాజకీయ పరిజ్ఞానం లేదని వ్యాఖ్యానించారు
the baby survived	దీంతో ప్రాణాలతో బయటపడింది ఆ చిన్నారి
both are safe	ఇద్దరు క్షేమంగా ఉన్నారు అని తెలిపారు
around one thousand	దాదాపు వెయ్యి గడపదాకా ఉంటుంది
